gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,year,state
female,group B,bachelor's degree,standard,none,72,72,74,2019,Illinois
female,group C,some college,standard,completed,69,90,88,2019,Indiana
female,group B,master's degree,standard,none,90,95,93,2020,Texas
male,group A,associate's degree,free/reduced,none,47,57,44,2019,Tennessee
male,group C,some college,standard,none,76,78,75,2018,Missouri
female,group B,associate's degree,standard,none,71,83,78,2017,Missouri
female,group B,some college,standard,completed,88,95,92,2018,Illinois
male,group B,some college,free/reduced,none,40,43,39,2020,Texas
male,group D,high school,free/reduced,completed,64,64,67,2019,Maryland
female,group B,high school,free/reduced,none,38,60,50,2015,Wisconsin
male,group C,associate's degree,standard,none,58,54,52,2018,Georgia
male,group D,associate's degree,standard,none,40,52,43,2017,Tennessee
female,group B,high school,standard,none,65,81,73,2016,Indiana
male,group A,some college,standard,completed,78,72,70,2020,Michigan
female,group A,master's degree,standard,none,50,53,58,2016,California
female,group C,some high school,standard,none,69,75,78,2015,Wisconsin
male,group C,high school,standard,none,88,89,86,2019,Florida
female,group B,some high school,free/reduced,none,18,32,28,2018,Georgia
male,group C,master's degree,free/reduced,completed,46,42,46,2017,Maryland
female,group C,associate's degree,free/reduced,none,54,58,61,2015,Wisconsin
male,group D,high school,standard,none,66,69,63,2015,Arizona
female,group B,some college,free/reduced,completed,65,75,70,2016,North Carolina
male,group D,some college,standard,none,44,54,53,2016,Arizona
female,group C,some high school,standard,none,69,73,73,2020,Maryland
male,group D,bachelor's degree,free/reduced,completed,74,71,80,2019,New York
male,group A,master's degree,free/reduced,none,73,74,72,2017,Florida
male,group B,some college,standard,none,69,54,55,2015,Georgia
female,group C,bachelor's degree,standard,none,67,69,75,2017,Indiana
male,group C,high school,standard,none,70,70,65,2017,Indiana
female,group D,master's degree,standard,none,62,70,75,2020,Pennsylvania
female,group D,some college,standard,none,69,74,74,2019,Wisconsin
female,group B,some college,standard,none,63,65,61,2015,Missouri
female,group E,master's degree,free/reduced,none,56,72,65,2020,Texas
male,group D,some college,standard,none,40,42,38,2015,Florida
male,group E,some college,standard,none,97,87,82,2018,Georgia
male,group E,associate's degree,standard,completed,81,81,79,2019,Illinois
female,group D,associate's degree,standard,none,74,81,83,2019,California
female,group D,some high school,free/reduced,none,50,64,59,2020,Illinois
female,group D,associate's degree,free/reduced,completed,75,90,88,2015,Ohio
male,group B,associate's degree,free/reduced,none,57,56,57,2015,Wisconsin
male,group C,associate's degree,free/reduced,none,55,61,54,2019,California
female,group C,associate's degree,standard,none,58,73,68,2016,Indiana
female,group B,associate's degree,standard,none,53,58,65,2020,Massachusetts
male,group B,some college,free/reduced,completed,59,65,66,2018,Colorado
female,group E,associate's degree,free/reduced,none,50,56,54,2019,Virginia
male,group B,associate's degree,standard,none,65,54,57,2018,Virginia
female,group A,associate's degree,standard,completed,55,65,62,2018,Tennessee
female,group C,high school,standard,none,66,71,76,2015,Maryland
female,group D,associate's degree,free/reduced,completed,57,74,76,2015,Missouri
male,group C,high school,standard,completed,82,84,82,2018,Arizona
male,group E,some college,standard,none,53,55,48,2016,Tennessee
male,group E,associate's degree,free/reduced,completed,77,69,68,2016,Virginia
male,group C,some college,standard,none,53,44,42,2019,Florida
male,group D,high school,standard,none,88,78,75,2019,Tennessee
female,group C,some high school,free/reduced,completed,71,84,87,2019,Washington
female,group C,high school,free/reduced,none,33,41,43,2019,Pennsylvania
female,group E,associate's degree,standard,completed,82,85,86,2018,California
male,group D,associate's degree,standard,none,52,55,49,2015,California
male,group D,some college,standard,completed,58,59,58,2015,Washington
female,group C,some high school,free/reduced,none,0,17,10,2015,Indiana
male,group E,bachelor's degree,free/reduced,completed,79,74,72,2018,Pennsylvania
male,group A,some high school,free/reduced,none,39,39,34,2020,Maryland
male,group A,associate's degree,free/reduced,none,62,61,55,2018,Massachusetts
female,group C,associate's degree,standard,none,69,80,71,2020,Missouri
female,group D,some high school,standard,none,59,58,59,2017,Michigan
male,group B,some high school,standard,none,67,64,61,2019,Wisconsin
male,group D,some high school,free/reduced,none,45,37,37,2016,Arizona
female,group C,some college,standard,none,60,72,74,2018,Massachusetts
male,group B,associate's degree,free/reduced,none,61,58,56,2017,New York
female,group C,associate's degree,standard,none,39,64,57,2017,Indiana
female,group D,some college,free/reduced,completed,58,63,73,2017,Wisconsin
male,group D,some college,standard,completed,63,55,63,2016,North Carolina
female,group A,associate's degree,free/reduced,none,41,51,48,2015,Florida
male,group C,some high school,free/reduced,none,61,57,56,2019,Georgia
male,group C,some high school,standard,none,49,49,41,2015,Illinois
male,group B,associate's degree,free/reduced,none,44,41,38,2015,North Carolina
male,group E,some high school,standard,none,30,26,22,2020,Florida
male,group A,bachelor's degree,standard,completed,80,78,81,2020,Michigan
female,group D,some high school,standard,completed,61,74,72,2017,Ohio
female,group E,master's degree,standard,none,62,68,68,2018,Massachusetts
female,group B,associate's degree,standard,none,47,49,50,2016,Indiana
male,group B,high school,free/reduced,none,49,45,45,2018,Texas
male,group A,some college,free/reduced,completed,50,47,54,2017,Illinois
male,group E,associate's degree,standard,none,72,64,63,2018,California
male,group D,high school,free/reduced,none,42,39,34,2015,California
female,group C,some college,standard,none,73,80,82,2019,Washington
